Function                      ,Assembly  ,Source,   REF     ,   SSE     ,  SSE2     ,  SSE3     , SSSE3     , SSE4A     ,SSE4_1     ,SSE4_2     ,  SSE5     
ssp_comoneq_ss                ,comss     ,SSE5  ,11.8,           ,11,           ,           ,           ,           ,           ,-1
ssp_comord_pd                 ,compd     ,SSE5  ,33.7,           ,2,           ,           ,           ,           ,           ,-1
ssp_comord_ps                 ,comps     ,SSE5  ,60,           ,2,           ,           ,           ,           ,           ,-1
ssp_comord_sd                 ,comsd     ,SSE5  ,32.6,           ,2,           ,           ,           ,           ,           ,-1
ssp_comord_ss                 ,comss     ,SSE5  ,14.4,           ,2,           ,           ,           ,           ,           ,-1
ssp_comtrue_epi16             ,pcomw     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_epi32             ,pcomd     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_epi64             ,pcomq     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_epi8              ,pcomb     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_epu16             ,pcomw     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_epu32             ,pcomd     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_epu64             ,pcomq     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_epu8              ,pcomb     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_pd                ,pcompd    ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_ps                ,pcomps    ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comtrue_sd                ,pcomsd    ,SSE5  ,21.3,           ,4,           ,           ,           ,           ,           ,-1
ssp_comtrue_ss                ,pcomss    ,SSE5  ,18.5,           ,4,           ,           ,           ,           ,           ,-1
ssp_comueq_pd                 ,pcompd    ,SSE5  ,31.5,           ,9,           ,           ,           ,           ,           ,-1
ssp_comueq_ps                 ,pcomps    ,SSE5  ,57,           ,9,           ,           ,           ,           ,           ,-1
ssp_comueq_sd                 ,pcomsd    ,SSE5  ,28.9,           ,11,           ,           ,           ,           ,           ,-1
ssp_comueq_ss                 ,pcomss    ,SSE5  ,12.8,           ,10,           ,           ,           ,           ,           ,-1
ssp_comunord_pd               ,pcompd    ,SSE5  ,33.4,           ,4,           ,           ,           ,           ,           ,-1
ssp_comunord_ps               ,pcomps    ,SSE5  ,51,           ,4,           ,           ,           ,           ,           ,-1
ssp_comunord_sd               ,pcomsd    ,SSE5  ,28.2,           ,7,           ,           ,           ,           ,           ,-1
ssp_comunord_ss               ,pcomss    ,SSE5  ,10.5,           ,6,           ,           ,           ,           ,           ,-1
ssp_crc32_u16                 ,crc32,SSE4_2,,,,,,,,-1,
ssp_crc32_u32                 ,crc32,SSE4_2,,,,,,,,-1,
ssp_crc32_u64                 ,crc32,SSE4_2,,,,,,,,-1,
ssp_crc32_u8                  ,crc32,SSE4_2,,,,,,,,-1,
ssp_cvt_si2ss                 ,cvtsi2ss,SSE,,-1,,,,,,,
ssp_cvt_ss2si                 ,cvtss2si,SSE,,-1,,,,,,,
ssp_cvtepi16_epi32            ,pmovsxwd  ,SSE4_1,32,           ,10,           ,           ,           ,3.2,           ,           
ssp_cvtepi16_epi64            ,pmovsxwq  ,SSE4_1,33,           ,12,           ,           ,           ,3.2,           ,           
ssp_cvtepi32_epi64            ,pmovsxdq  ,SSE4_1,32,           ,10,           ,           ,           ,3.2,           ,           
ssp_cvtepi32_pd               ,cvtdq2pd,SSE2,,,-1,,,,,,
ssp_cvtepi32_ps               ,cvtdq2ps,SSE2,,,-1,,,,,,
ssp_cvtepi8_epi16             ,pmovsxbw  ,SSE4_1,56,           ,9,           ,           ,           ,3.2,           ,           
ssp_cvtepi8_epi32             ,pmovsxbd  ,SSE4_1,35,           ,12,           ,           ,           ,3.2,           ,           
ssp_cvtepi8_epi64             ,pmovsxbq  ,SSE4_1,25.5,           ,14,           ,           ,           ,3.2,           ,           
ssp_cvtepu16_epi32            ,pmovzxwd  ,SSE4_1,32,           ,2,           ,           ,           ,3.2,           ,           
ssp_cvtepu16_epi64            ,pmovzxwq  ,SSE4_1,33,           ,4,           ,           ,           ,3.2,           ,           
ssp_cvtepu32_epi64            ,pmovzxdq  ,SSE4_1,30,           ,2,           ,           ,           ,3.2,           ,           
ssp_cvtepu8_epi16             ,pmovzxbw  ,SSE4_1,56,           ,2,           ,           ,           ,3.2,           ,           
ssp_cvtepu8_epi32             ,pmovzxbd  ,SSE4_1,35,           ,4,           ,           ,           ,3.2,           ,           
ssp_cvtepu8_epi64             ,pmovzxbq  ,SSE4_1,25.5,           ,6,           ,           ,           ,3.2,           ,           
ssp_cvtpd_epi32               ,cvtpd2dq,SSE2,,,-1,,,,,,
ssp_cvtpd_ps                  ,cvtpd2ps,SSE2,,,-1,,,,,,
ssp_cvtps_epi32               ,cvtps2dq,SSE2,,,-1,,,,,,
ssp_cvtps_pd                  ,cvtps2pd,SSE2,,,-1,,,,,,
ssp_cvtsd_f64                 ,(comp),SSE2,,,-1,,,,,,
ssp_cvtsd_si32                ,cvttsd2si,SSE2,,,-1,,,,,,
ssp_cvtsd_si64                ,cvtsd2si,SSE2,,,-1,,,,,,
ssp_cvtsd_ss                  ,cvtsd2ss,SSE2,,,-1
ssp_cvtsi128_si32             ,movd,SSE2,,,-1
ssp_cvtsi128_si64             ,movq,SSE2,,,-1
ssp_cvtsi32_sd                ,cvtsi2sd,SSE2,,,-1
ssp_cvtsi32_si128             ,movd,SSE2,,,-1
ssp_cvtsi32_ss                ,cvtsi2ss,SSE,,-1,
ssp_cvtsi64_sd                ,cvtsi2sd,SSE2,,,-1
ssp_cvtsi64_si128             ,movq,SSE2,,,-1
ssp_cvtsi64_ss                ,cvtsi2ss,SSE,,-1,
ssp_cvtss_f32                 ,cvtss2si,SSE,,-1,
ssp_cvtss_sd                  ,cvtss2sd,SSE2,,,-1
ssp_cvtss_si32                ,cvtss2si,SSE,,-1,
ssp_cvtss_si64                ,cvtss2si,SSE,,-1,
ssp_cvtt_ss2si                ,cvttss2si,SSE,,-1,
ssp_cvttpd_epi32              ,cvttpd2dq,SSE2,,,-1
ssp_cvttps_epi32              ,cvttps2dq,SSE2,,,-1
ssp_cvttsd_si32               ,cvttsd2si,SSE2,,,-1,,,,,,
ssp_cvttsd_si64               ,cvttsd2si,SSE2,,,-1,,,,,,
ssp_cvttss_si32               ,cvttss2si,SSE,,-1,,,,,,,
